date,type,id
2017-03-24 16:09:04,Activity,912517677
2017-03-24 16:09:09,Activity,912469227
2017-03-26 17:14:16,Activity,914034560
2017-03-28 04:10:08,Activity,917331214
2017-03-31 04:17:41,Activity,920983003
2017-04-05 02:06:05,Activity,928460520
2017-04-10 18:43:16,Activity,936106140
2017-04-23 23:06:30,Activity,955450841
2017-05-06 23:12:19,Activity,973658984
2017-05-15 02:19:31,Activity,986749737
2017-05-26 15:32:14,Activity,1005143879
2017-05-27 13:57:33,Activity,1007315592
2017-05-28 15:38:37,Activity,1009686438
2017-05-29 19:33:01,Activity,1011785480
2017-05-31 04:41:53,Activity,1013560067
2017-06-04 16:27:30,Activity,1019683638
2017-06-04 16:39:25,Activity,1020876635
2017-06-05 21:08:20,Activity,1022714625
2017-06-05 21:08:29,Activity,1022907094
2017-06-05 23:04:15,Activity,1023024443
2017-06-06 19:01:31,Activity,1024026836
2017-06-06 19:01:46,Activity,1024008140
2017-06-06 20:11:06,Activity,1023349273
2017-06-07 22:23:10,Activity,1016732870
2017-06-07 22:29:00,Activity,1025340448
2017-06-08 15:50:27,Activity,1024551840
2017-06-08 15:53:36,Activity,1026022118
2017-06-08 16:34:21,Activity,1025991913
2017-06-09 04:20:05,Activity,1026999393
2017-06-09 12:43:24,Activity,1027722242
2017-06-10 03:44:38,Activity,1028763655
2017-06-11 16:45:59,Activity,1031852434
2017-06-11 16:46:18,Activity,1031699855
2017-06-11 17:48:47,Activity,1030698931
2017-06-11 20:59:34,Activity,1032169765
2017-06-12 01:04:30,Activity,1032432671
2017-06-12 18:54:25,Activity,1032572657
2017-06-13 22:36:09,Activity,1017909431
2017-06-14 20:57:52,Activity,1036888449
2017-06-16 17:56:36,Activity,1039582999
2017-06-17 14:16:16,Activity,1040844627
2017-06-17 17:10:21,Activity,1041180254
2017-06-17 17:13:39,Activity,1035557752
2017-06-17 17:22:47,Activity,1040853556
2017-06-17 20:36:42,Activity,1041277747
2017-06-17 21:51:55,Activity,1040843325
2017-06-19 13:26:35,Activity,1043042276
2017-06-20 14:40:15,Activity,1045004889
2017-06-21 22:01:07,Activity,1047604545
2017-06-23 14:54:42,Activity,1049624836
2017-06-24 23:56:09,Activity,1052343569
2017-06-25 16:26:46,Activity,1053583206
2017-06-26 19:52:23,Activity,1055356595
2017-06-28 04:17:44,Activity,1057017878
2017-06-28 21:57:50,Activity,1058646266
2017-06-29 18:49:30,Activity,1059831388
2017-06-29 23:03:12,Activity,1059972709
2017-06-30 15:32:58,Activity,1060787975
2017-07-02 03:28:01,Activity,1063109931
2017-07-04 22:50:09,Activity,1067101366
