name,activity_id,start_lat,start_lng,end_lat,end_lng
Al Fresco to Locust Downhill,1132043130,43.606492,-116.154976,43.612487,-116.176615
Crosswalk to Lamp Post,1174717608,44.458577,-93.161491,44.458598,-93.178493
