date,comment
2018-07-17 15:18:01,They finished the whole thing? Oh That is a must
2018-07-18 13:51:42,Hook 'em horns!
2018-07-19 17:07:27,magnificent! keep rolling
2018-07-20 17:48:03,We're gonna be in the same race!
2018-07-20 18:28:45,"Oh damn, should be sweet!"
2018-07-20 18:47:25,Holy shit. Awesome!
2018-07-20 22:20:13,Lacroix's are best served at a tepid 72 degrees 
2018-07-21 01:11:20,Which one is you?
2018-07-21 02:04:50,Look at us taking to Strava for late night conversation 
2018-07-21 02:06:31,Who's got a joke? 
2018-07-21 17:43:45,I did win; Eneas beat me to the line but we were 2' ahead of the next Cat3 
2018-07-21 18:25:46,I can't find a ring emoji. Just picture five of them
2018-07-23 12:47:46,There's an Ass-farm in Northfield? Sign me tf up 
2018-07-23 14:54:07,30k? Must have been many laps of the island 
2018-07-25 13:20:56,"harvester?
"
2018-07-25 13:33:51,Still would 
2018-07-26 17:42:00,Frog?
2018-07-27 13:03:33,I couldn't quite tell if it was murder was on his mind or nothing whatsoever on his mind 
2018-07-27 13:10:56,"Yeah you too, you've got some great top speed"
2018-07-28 13:15:05,That's an awesome picture. Nice race to both of you 
2018-07-28 13:41:52,💪💪💪
2018-07-30 12:00:48,"I didn't actually do the full Shutesbury climb, just 2x10' on the steepest parts "
2018-07-30 12:21:37,Swallow your metal while you're that high!
2018-08-02 14:57:20,Nice 4xMile at 6:00-6:53-7:04-6:48 
2018-08-03 02:06:32,🐸
2018-08-03 21:31:05,Find time for what? 
2018-08-03 21:55:01,Just pedaled harder the whole way! Not really sure to be honest 
2018-08-04 11:49:11,Thanks! 
2018-08-05 17:22:06,Hell of a swim 
2018-08-05 18:39:09,"For real? That'd be a dream, will you be at the crit Wednesday?"
2018-08-05 18:45:41,Awesome! You're the man 
2018-08-07 23:18:56,How was the return? 
2018-08-07 23:19:45,Any hail this time? 
2018-08-08 00:27:11,Are you alright now? 
2018-08-08 00:52:06,Thanks!  
2018-08-08 22:08:32,NEEDem
2018-08-09 02:23:01,"Yeah, there's roadwork being done on the first pitch. With any luck they're paving it over, that stretch is riddled with holes "
2018-08-09 16:49:50,RIBBIT
2018-08-09 17:11:57,Sohohhhohohhhh uh 
2018-08-12 21:54:08,"Ribs and left shoulder are pretty sore but nothing seems too bad.  Bike appeared to come out okay as well, so got lucky despite it being totally avoidable altogether "
2018-08-13 11:59:59,Thanks guys63 was from when the support car picked me up and Ieft my computer on.  Highest I've reached on a bike is 55 
2018-08-13 12:00:14,Jeremy Storvick 
2018-08-17 22:35:30,Ur ass is mine
2018-08-18 22:19:09,"Totally healed, it was nothing serious.  Just couldn't ride all week since I was working at a camp and this was first ride back.  I'll be there wednesday!"
2018-08-22 00:04:57,"Nick wanted us to push but I was tired, I'm happy it wasn't all selfish "
2018-08-22 14:47:49,"I've yet to try going up County actually,  ive only white-knuckled you down it "
2018-08-22 14:48:00,*well behind you 
2018-08-23 00:48:41,Have any particular races in mind for the fall?
2018-08-23 13:22:56,"Good luck to you there, sorry about the back.  I head back on Labor day "
2018-08-25 19:40:25,Hematoma
2018-08-27 19:08:19,@hermdog
2018-08-29 16:24:46,"Thanks Jonathan, hope to see you again next year.  Nick Hight-Huf, power was down for the return trip, despite the times being similar "
2018-08-30 02:36:00,I'll show up on the 6th day of class
2018-08-31 02:23:54,"Thanks Donal, great riding with you this summer "
2018-08-31 21:59:13,Same to you Dusty 
2018-09-01 16:25:06,Nice!
2018-09-01 17:08:15,Threw
2018-09-01 17:08:45,Np. Gj
2018-09-02 00:08:44,I missed the podium for the polka dot Jersey :(
2018-09-02 22:33:31,"Froomie ran like 10yds, you kicked his butt. Great riding today, one of these days we'll both finish a break we start"
2018-09-03 18:34:48,Thanks! And congrats on getting the stage 
2018-09-03 18:36:50,Nice dude
2018-09-04 01:15:14,Thanks everybody!! 
2018-09-04 01:20:25,Colin Reuter the laws of physics were on a lunch break 
2018-09-05 16:01:43,❄
2018-09-10 18:36:36,I'm down! It's some lonely riding in Northfield 
2018-09-14 03:09:03,No
2018-09-23 15:15:51,Wrong direction
2018-09-23 17:57:25,That's some shiny bling! Nice
2018-09-24 01:08:51,"It was at 9am, Strava is out to get me"
2018-09-24 17:32:16,No
2018-09-24 17:33:01,"Correct direction, wrong time "
2018-09-25 01:48:37,Never works out to be friends with ur ex 
2018-09-29 22:36:30,Haven't yet. I suppose that was misleadi g 
2018-09-30 00:08:29,Carnage 
2018-09-30 00:09:29,Damn! Jealous
2018-10-02 17:21:26,Wait I wasn't on this run rub 
2018-10-07 23:09:33,"Tendonitis, I believe.  Uncertain, but it's getting better every day"
2018-10-08 16:57:33,"I believe it was the rollers, this was before I got the new shoes "
2018-10-09 22:31:45,"That's nothing, I had a 25 minute shit today  "
2018-11-02 00:38:24,"Pretty good recently, unfortunate since its probably going to be poor weather once I can get back on a real bike "
